submitted_on  ,latitude  ,longitude  ,gps_method  ,district  ,traditional_authority  ,group_village_headman  ,village  ,well_being_analysis  ,household_id  ,respondent_gender  ,attended_school  ,highest_education_qualification  ,marital_status  ,religion  ,main_income_source  ,monthly_family_income  ,household_size  ,main_water_source  ,waterpoint_functional_status  ,nonfunctional_reason  ,waterpoint_current_issues  ,waterpoint_current_problem  ,waterpoint_current_problem_other  ,water_collection_time_minutes  ,seasonal_water_shortage  ,shortage_months  ,daily_water_use_buckets  ,has_water_tariff  ,no_tariff_reason  ,no_tariff_reason_other  ,waterpoint_breakdown_response  ,willing_to_pay_for_improvement  ,current_tariff_kwacha  ,current_tariff_unknown  ,max_tariff_willing_to_pay  ,satisfaction_service_level  ,satisfaction_maintenance_fund  ,satisfaction_sanitation_hygiene  ,satisfaction_theft_protection  ,satisfaction_water_quality  
9/20/2021,-15.470466,35.2945861,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,36,Female,No,NA,Widowed,Muslim, Income from piecework or ganyu,"Below K100,000",7,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,20,Yes,October,5,Yes ,NA,NA,NA,NA,200,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/20/2021,-15.473224,35.2961977,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,48,Female,Yes,Primary,Married ,Muslim, Business or trading activities,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,6,No, External Support e.g. Member of Parliament pays for maintenance when it's needed,NA, Report to private contractor Includes Area Mechanic,Yes ,NA,NA,NA, Dissatisfied, Neither satisfied nor dissatisfied, Satisfied, Satisfied, Satisfied
9/20/2021,-15.4716085,35.2962172,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,61,Male ,Yes,Primary,Single,Muslim,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,5,No, Service provider has more than enough money saved for maintenance,NA, Report to private contractor Includes Area Mechanic,Yes ,NA,NA,NA, Satisfied, Very satisfied, Very satisfied, Satisfied, Satisfied
9/20/2021,-15.4675895,35.2940173,GPS,Zomba,Chikowi,Matache,Kagaso,Hanging-in,4,Male ,Yes,Primary,Married ,Christian,Farming,"Below K100,000",9,Borehole or tubewell, Partially functional but in need of repair,NA,Yes,Other,The borehole has few pipes so in dry season they have to wait for water to come out,30,No,NA,2,Yes ,NA,NA,NA,NA,200,NA,0, Somewhat dissatisfied, Very satisfied, Very satisfied, Very satisfied,Very Dissatisfied
9/20/2021,-15.4706779,35.2943352,GPS,Zomba,Chikowi,Matache,Kagaso,Hanging-in,8,Male ,Yes,Primary,Single,Muslim,Farming,"Below K100,000",5, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes ,NA,NA,NA,NA,50,NA,0, Dissatisfied, Dissatisfied, Somewhat satisfied, Very satisfied,Very Dissatisfied
9/20/2021,-15.4697981,35.2970791,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,88,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",6, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes ,NA,NA,NA,NA,NA,TRUE,NA, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied,Very Dissatisfied
9/20/2021,-15.48255072,35.23864451,Map,Zomba,Chikowi,Matache,Kagaso,Hanging-in,97,Male ,Yes,Secondary,Single,Christian,Farming,"Below K100,000",1,Borehole or tubewell,Functional,NA,Yes, Low water flow - Low water pressure,NA,30,Yes,"September, October, November, August",2,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Satisfied, Dissatisfied, Dissatisfied, Somewhat satisfied
9/20/2021,-15.4718823,35.294258,GPS,Zomba,Chikowi,Matache,Kagaso,Hanging-in,17,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,4,No, External Support e.g. Member of Parliament pays for maintenance when it's needed,NA, Report to private contractor Includes Area Mechanic,No,NA,NA,NA, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Satisfied
9/20/2021,-15.41960123,35.28937971,Map,Zomba,Chikowi,Matache,Kagaso,Hanging-in,89,Female,Yes,Primary,Single,Muslim,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,2,No,Other,No need for payment , Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/20/2021,-15.45993697,35.26391899,Map,Zomba,Chikowi,Matache,Kagaso,Stepping-up,23,Female,No,NA,Married ,Muslim, Wages or salary from formal employment,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,2,No,Other,Only contribute when broken, Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Somewhat satisfied
9/20/2021,-15.4721844,35.2943951,GPS,Zomba,Chikowi,Matache,Kagaso,Hanging-in,19,Male ,Yes,Primary,Single,Muslim,Farming,"Below K100,000",1,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,2,No, External Support e.g. Member of Parliament pays for maintenance when it's needed,NA, Report to private contractor Includes Area Mechanic,Yes ,NA,NA,NA, Satisfied,Very Dissatisfied,Very Dissatisfied, Very satisfied, Somewhat satisfied
9/20/2021,-15.4727009,35.2964343,GPS,Zomba,Chikowi,Matache,Kagaso,Well-off,98,Female,Yes,Secondary,Married ,Muslim, Business or trading activities," K500,001- 750,000",4,Borehole or tubewell,Functional,NA,Yes, Low water flow - Low water pressure,NA,3,Yes,October,16,No,Other,The borehole belongs to the family., Report to private contractor Includes Area Mechanic,Yes ,NA,NA,NA, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied,Very Dissatisfied
9/13/2021,-15.4732918,35.2970847,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,99,Female,Yes,Primary,Divorced,Muslim, Money transfer or cash remittance,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,6,No, Service provider has more than enough money saved for maintenance,NA, Donor to pay,Yes ,NA,NA,NA, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Satisfied
9/20/2021,-15.4729432,35.2935798,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,92,Male ,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",6,Borehole or tubewell,Functional,NA,Yes, Worn out parts,NA,20,No,NA,8,Yes ,NA,NA,NA,NA,500,NA,500, Very satisfied, Somewhat satisfied, Somewhat satisfied, Somewhat satisfied, Very satisfied
9/20/2021,-15.38131425,35.31296853,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,42,Female,Yes,Primary,Single,Muslim, Income from piecework or ganyu,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,1,No,Other,They only contribute when broken, Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Somewhat satisfied, Satisfied, Satisfied
9/20/2021,-15.4877227,35.2924348,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,130,Female,Yes,Primary,Married ,Christian,Farming,"Below K100,000",4,Borehole or tubewell, Partially functional but in need of repair,NA,Yes," Worn out parts,  Structural problems (Civil works apron etc)",NA,5,Yes,"October, November",3,Yes ,NA,NA,NA,NA,2000,NA,20000, Satisfied, Satisfied, Satisfied, Very satisfied, Very satisfied
9/13/2021,-15.40211726,35.29803258,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,45,Female,No,NA,Married ,Christian, Income from piecework or ganyu,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,1,No,Other,Only when broken , Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/13/2021,-15.4904889,35.2939728,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,17,Female,Yes,Secondary,Married ,Muslim,Farming,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,6,Yes ,NA,NA,NA,NA,200,NA,500, Very satisfied, Very satisfied, Very satisfied, Dissatisfied, Very satisfied
9/20/2021,-15.42013437,35.27822883,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,48,Female,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,40,No,NA,4,No,Other,Only when broken , Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/20/2021,-15.4889401,35.2903672,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,30,Female,Yes,Primary,Widowed,Christian,Farming,"Below K100,000",4, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes ,NA,NA,NA,NA,50,NA,200, Very satisfied, Very satisfied, Very satisfied, Satisfied, Dissatisfied
9/20/2021,-15.4880972,35.2865235,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,122,Female,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,20,Yes,"October, September, November",3,Yes ,NA,NA,NA,NA,400,NA,1000, Satisfied, Satisfied, Satisfied, Dissatisfied, Satisfied
9/20/2021,-15.4855146,35.2879615,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,35,Female,Yes,Primary,Divorced,Christian,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,6,Yes ,NA,NA,NA,NA,200,NA,500, Very satisfied, Very satisfied, Satisfied, Satisfied, Dissatisfied
9/20/2021,-15.4886684,35.2903344,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,92,Female,Yes,Primary,Married ,Christian, Business or trading activities,"Below K100,000",4, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,"Its an open well, no pump", Never experience breakdown,Yes ,NA,NA,NA, Somewhat satisfied, Neither satisfied nor dissatisfied, Dissatisfied, Dissatisfied, Somewhat satisfied
9/20/2021,-15.37894852,35.30990662,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,64,Male ,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,0,No,Other,Only when broken , Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/20/2021,-15.4864608,35.287491,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,2,Female,Yes,Primary,Widowed,Muslim, Income from piecework or ganyu,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,5,Yes,October,3,Yes ,NA,NA,NA,NA,200,NA,4000, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/20/2021,-15.38134181,35.313433,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,57,Male ,No,NA,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,2,No,Other,Only when broken , Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/20/2021,-15.4858357,35.2874346,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,1,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,4,Yes ,NA,NA,NA,NA,200,NA,2000, Very satisfied, Satisfied, Satisfied, Somewhat satisfied, Very satisfied
9/20/2021,-15.4855247,35.2875007,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,36,Female,Yes,Secondary,Single,Christian, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,4,Yes ,NA,NA,NA,NA,200,NA,500, Very satisfied, Very satisfied, Satisfied, Satisfied, Dissatisfied
9/20/2021,-15.4840481,35.2854011,GPS,Zomba,Chikowi,Matache,Kukanga,Hanging-in,32,Female,Yes,Primary,Divorced,Muslim, Business or trading activities,"Below K100,000",3, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,It's unprotected dug well , Never experience breakdown,Yes ,NA,NA,NA, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied
9/20/2021,-15.4854128,35.2878273,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,105,Female,Yes,Primary,Married ,Muslim, Business or trading activities,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,7,No,NA,4,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/20/2021,-15.4883363,35.28665,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,121,Female,Yes,Secondary,Widowed,Muslim,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,5,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Very satisfied, Somewhat dissatisfied, Very satisfied, Satisfied
9/20/2021,-15.4859596,35.2877831,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,12,Female,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,4,No,Other,Don't know, Contribute to maintain,Yes ,NA,NA,NA, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/20/2021,-15.4861729,35.2874398,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,5,Female,Yes,Primary,Married ,Muslim,Farming," K100,001 – 250,000",9,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,5,Yes ,NA,NA,NA,NA,100,NA,100, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Satisfied
9/20/2021,-15.4887066,35.2904182,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,9,Female,Yes,Primary,Married ,Christian,Farming,"Below K100,000",5, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,They dug the well themselves so they do not see the need to pay. The well is theirs,Abandon / Nothing,Yes ,NA,NA,NA, Dissatisfied, Dissatisfied, Satisfied, Dissatisfied, Very satisfied
9/20/2021,-15.4897676,35.2946357,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,73,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",7,Borehole or tubewell,Functional,NA,Yes, Low water flow - Low water pressure,NA,10,Yes,October,8,No, External Support e.g. Member of Parliament pays for maintenance when it's needed,NA, Contribute to maintain,Yes ,NA,NA,NA, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/20/2021,-15.4882874,35.2863508,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,8,Female,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",7,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,20,No,NA,3,No,Other,It is hard for people to find the monthly fee, Contribute to maintain,No,NA,NA,NA, Somewhat satisfied, Satisfied, Dissatisfied, Satisfied, Somewhat satisfied
9/20/2021,-15.4876164,35.2922665,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,76,Female,Yes,Primary,Widowed,Christian, Business or trading activities,"Below K100,000",4,Borehole or tubewell,Functional,NA,Yes, Low water flow - Low water pressure,NA,10,Yes,October,4,Yes ,NA,NA,NA,NA,500,NA,100, Dissatisfied, Very satisfied, Satisfied,Very Dissatisfied, Somewhat dissatisfied
9/20/2021,-15.4869154,35.2872205,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,59,Male ,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,4,No,Other,Don't know what the committee thinks, Contribute to maintain,Yes ,NA,NA,NA, Very satisfied, Very satisfied, Satisfied, Satisfied, Somewhat satisfied
9/20/2021,-15.4877417,35.2921949,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,80,Female,Yes,Primary,Married ,Christian, Business or trading activities,"Below K100,000",9,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,7,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Very satisfied, Very satisfied, Somewhat satisfied, Satisfied
9/20/2021,-15.4876299,35.2922198,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,86,Female,Yes,Primary,Married ,Christian, Business or trading activities,"Below K100,000",5,Borehole or tubewell,Functional,NA,Yes, Worn out parts,NA,10,Yes,October,7,Yes ,NA,NA,NA,NA,500,NA,500, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Dissatisfied
9/20/2021,-15.31911326,35.39045338,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,23,Female,Yes,Primary,Married ,Christian, Income from piecework or ganyu, Don’t know/Don't remember,5,Borehole or tubewell, Not functional, Theft/Vandalism,NA,NA,NA,NA,No,NA,2,No,Service provider (e.g. committee) has had no training,NA, Contribute to maintain,Yes ,NA,NA,NA, Dissatisfied, Dissatisfied,Very Dissatisfied, Dissatisfied, Dissatisfied
9/21/2021,-15.4862416,35.2869657,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-up,40,Female,Yes,Primary,Divorced,Muslim,Farming,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,5,Yes ,NA,NA,NA,NA,200,NA,NA, Very satisfied, Very satisfied, Very satisfied, Satisfied, Very satisfied
9/21/2021,-15.4852583,35.287108,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-up,108,Male ,Yes,Secondary,Widowed,Christian,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,6,Yes ,NA,NA,NA,NA,200,NA,NA, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-15.3340017,35.3862516,GPS,Zomba,Malemia,Chisutu,Chasuma,Hanging-in,19,Male ,No,NA,Widowed,Muslim,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,10,Yes,October,0,Yes ,NA,NA,NA,NA,200,NA,300, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.3359678,35.3852427,GPS,Zomba,Malemia,Chisutu,Chasuma,Stepping-up,21,Female,Yes,Primary,Single,Christian, Income from piecework or ganyu,"Below K100,000",2,Piped supply,Functional,NA,No,NA,NA,5,No,NA,3,Yes ,NA,NA,NA,NA,200,NA,2000, Very satisfied, Satisfied, Satisfied, Very satisfied, Very satisfied
9/21/2021,-15.3351005,35.3850652,GPS,Zomba,Malemia,Chisutu,Chasuma,Stepping-up,37,Female,Yes,Primary,Divorced,Christian, Income from piecework or ganyu,"Below K100,000",3, Water kiosk,Functional,NA,No,NA,NA,30,Yes,"September, October, December",5,Yes ,NA,NA,NA,NA,250,NA,2000, Very satisfied, Satisfied, Somewhat dissatisfied, Satisfied, Very satisfied
9/21/2021,-15.3358123,35.3857419,GPS,Zomba,Malemia,Chisutu,Chasuma,Stepping-out,14,Female,No,NA,Widowed,Muslim, Income from piecework or ganyu,"Below K100,000",4,Piped supply,Functional,NA,Yes, Low water flow - Low water pressure,NA,30,Yes,October,5,Yes ,NA,NA,NA,NA,250,NA,150,Very Dissatisfied, Very satisfied, Satisfied, Dissatisfied, Somewhat satisfied
9/21/2021,-15.3338168,35.3865824,GPS,Zomba,Malemia,Chisutu,Chasuma,Stepping-up,5,Female,No,NA,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,5,Yes ,NA,NA,NA,NA,200,NA,500, Very satisfied, Very satisfied, Dissatisfied, Satisfied, Very satisfied
9/21/2021,-15.3342825,35.3840864,GPS,Zomba,Malemia,Chisutu,Chasuma,Well-off,35,Female,Yes,Primary,Married ,Christian, Business or trading activities," K100,001 – 250,000",9, Water kiosk,Functional,NA,No,NA,NA,11,Yes,"September, October, November",8,Yes ,NA,NA,NA,NA,200,NA,5000, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.3347956,35.3850147,GPS,Zomba,Malemia,Chisutu,Chasuma,Hanging-in,27,Male ,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,10,Yes,"October, November",2,Yes ,NA,NA,NA,NA,150,NA,250, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.3350612,35.3852425,GPS,Zomba,Malemia,Chisutu,Chasuma,Stepping-out,26,Female,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",6,Piped supply,Functional,NA,No,NA,NA,5,Yes,"October, December",5,Yes ,NA,NA,NA,NA,200,NA,200, Very satisfied, Very satisfied, Dissatisfied, Very satisfied, Somewhat satisfied
9/21/2021,-15.3359615,35.3853575,GPS,Zomba,Malemia,Chisutu,Chasuma,Stepping-up,9,Female,Yes,Primary,Single,Muslim, Income from piecework or ganyu,"Below K100,000",3,Piped supply,Functional,NA,No,NA,NA,15,No,NA,6,Yes ,NA,NA,NA,NA,250,NA,250, Very satisfied, Somewhat dissatisfied, Satisfied, Somewhat satisfied, Dissatisfied
9/21/2021,-15.3360254,35.3852608,GPS,Zomba,Malemia,Chisutu,Chasuma,Stepping-out,49,Female,Yes,Primary,Divorced,Muslim, Income from piecework or ganyu,"Below K100,000",3,Piped supply,Functional,NA,Yes, Low water flow - Low water pressure,NA,3,Yes,October,10,Yes ,NA,NA,NA,NA,200,NA,200, Very satisfied, Very satisfied, Very satisfied, Somewhat satisfied, Very satisfied
9/21/2021,-15.3349139,35.3847946,GPS,Zomba,Malemia,Chisutu,Chasuma,Hanging-in,20,Male ,No,NA,Married ,Christian, Income from piecework or ganyu,"Below K100,000",3,Piped supply,Functional,NA,No,NA,NA,10,Yes,"October, November",3,Yes ,NA,NA,NA,NA,250,NA,1000, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.3348241,35.3835648,GPS,Zomba,Malemia,Chisutu,Chasuma,Stepping-out,16,Female,No,NA,Married ,Muslim, Business or trading activities,"Below K100,000",8,Piped supply,Functional,NA,No,NA,NA,5,No,NA,10,Yes ,NA,NA,NA,NA,200,NA,3000, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
